city,cause,year,adthnum,adrate
'jckv','death',1999,5839,0.007496671
'jckv','death',2000,5831,0.0074864
'jers','death',1987,4666,0.007662055
'jers','death',1988,4746,0.007793423
'jers','death',1989,4355,0.007151361
'jers','death',1990,4323,0.007098814
'jers','death',1991,4251,0.006980582
'jers','death',1992,4267,0.007006856
'jers','death',1993,4380,0.007192413
'jers','death',1994,4073,0.006688288
'jers','death',1995,4194,0.006886982
'jers','death',1996,4074,0.00668993
'jers','death',1997,3820,0.006272836
'jers','death',1998,3903,0.00640913
'jers','death',1999,3946,0.006479741
'jers','death',2000,3971,0.006520793
'john','death',1987,1879,0.012313399
'john','death',1988,1738,0.011389402
'john','death',1989,1715,0.011238679
'john','death',1990,1768,0.011585997
'john','death',1991,1892,0.01239859
'john','death',1992,1851,0.01212991
'john','death',1993,1819,0.011920209
'john','death',1994,1867,0.012234761
'john','death',1995,1898,0.012437909
'john','death',1996,1880,0.012319952
'john','death',1997,1876,0.012293739
'john','death',1998,1877,0.012300292
'john','death',1999,1932,0.012660716
'john','death',2000,1973,0.012929396
'kan','death',1987,6496,0.007117601
'kan','death',1988,6581,0.007210735
'kan','death',1989,6616,0.007249084
'kan','death',1990,6546,0.007172386
'kan','death',1991,6675,0.00731373
'kan','death',1992,6740,0.00738495
'kan','death',1993,7105,0.007784877
'kan','death',1994,6910,0.007571217
'kan','death',1995,7155,0.007839661
'kan','death',1996,7022,0.007693934
'kan','death',1997,6961,0.007627097
'kan','death',1998,7067,0.00774324
'kan','death',1999,7004,0.007674212
'kan','death',2000,6998,0.007667638
'kans','death',1987,1577,0.009988472
'kans','death',1988,1643,0.010406506
'kans','death',1989,1578,0.009994806
'kans','death',1990,1599,0.010127817
'kans','death',1991,1546,0.009792123
'kans','death',1992,1533,0.009709783
'kans','death',1993,1581,0.010013808
'kans','death',1994,1550,0.009817459
'kans','death',1995,1644,0.01041284
'kans','death',1996,1645,0.010419174
'kans','death',1997,1592,0.01008348
'kans','death',1998,1496,0.009475431
'kans','death',1999,1582,0.010020142
'kans','death',2000,1566,0.0099188
'king','death',1987,1914,0.010767993
'king','death',1988,1925,0.010829878
'king','death',1989,1921,0.010807374
'king','death',1990,1921,0.010807374
'king','death',1991,1917,0.010784871
'king','death',1992,1909,0.010739864
'king','death',1993,1946,0.010948022
'king','death',1994,1988,0.01118431
'king','death',1995,2044,0.011499361
'king','death',1996,1959,0.011021159
'king','death',1997,1965,0.011054915
'king','death',1998,1987,0.011178685
'king','death',1999,1975,0.011111174
'king','death',2000,1938,0.010903015
'knox','death',1987,2724,0.007130293
'knox','death',1988,2917,0.007635486
'knox','death',1989,2713,0.007101499
'knox','death',1990,2891,0.007567429
'knox','death',1991,2767,0.007242849
'knox','death',1992,2794,0.007313523
'knox','death',1993,2885,0.007551723
'knox','death',1994,2894,0.007575282
'knox','death',1995,2869,0.007509842
'knox','death',1996,2978,0.007795159
'knox','death',1997,3089,0.00808571
'knox','death',1998,3081,0.008064769
'knox','death',1999,3106,0.008130209
'knox','death',2000,3179,0.008321292
'la','death',1987,56480,0.005933186
'la','death',1988,56999,0.005987706
'la','death',1989,56956,0.005983189
'la','death',1990,54782,0.005754812
'la','death',1991,53880,0.005660057
'la','death',1992,54062,0.005679176
'la','death',1993,54629,0.005738739
'la','death',1994,55095,0.005787692
'la','death',1995,53748,0.005646191
'la','death',1996,52903,0.005557424
'la','death',1997,53636,0.005634425
'la','death',1998,52854,0.005552277
'la','death',1999,53788,0.005650393
'la','death',2000,53250,0.005593876
'lafy','death',1987,1313,0.00689228
'lafy','death',1988,1355,0.007112749
'lafy','death',1989,1331,0.006986767
'lafy','death',1990,1382,0.007254479
'lafy','death',1991,1411,0.007406708
'lafy','death',1992,1394,0.00731747
'lafy','death',1993,1442,0.007569435
'lafy','death',1994,1388,0.007285974
'lafy','death',1995,1410,0.007401458
'lafy','death',1996,1453,0.007627176
'lafy','death',1997,1484,0.007789904
'lafy','death',1998,1504,0.007894889
'lafy','death',1999,1609,0.008446061
'lafy','death',2000,1574,0.008262337
'lasv','death',1987,4036,0.002933641
'lasv','death',1988,4476,0.003253463
'lasv','death',1989,4571,0.003322515
'lasv','death',1990,4960,0.003605267
'lasv','death',1991,5322,0.003868393
'lasv','death',1992,5716,0.004154779
'lasv','death',1993,6233,0.00453057
'lasv','death',1994,6781,0.004928894
